CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster
12465,8,3,733.89,5,3,3,533,0
12468,143,3,652.04,2,3,3,233,2
12471,2,45,16306.57,5,5,5,555,3
12472,31,13,5657.68,4,5,5,455,3
12473,54,4,2494.42,3,4,5,345,2
12474,17,30,6331.0199999999995,4,5,5,455,3
12475,54,1,669.38,3,1,3,313,1
12476,1,20,5581.73,5,5,5,555,3
12477,23,9,13066.16,4,5,5,455,3
12478,4,1,545.99,5,1,3,513,1
12479,4,3,423.3,5,3,2,532,0
12480,28,4,2568.83,4,4,5,445,2
12481,23,11,4930.56,4,5,5,455,3
12483,17,11,1873.13,4,5,5,455,3
12484,35,6,3892.87,3,4,5,345,2
12488,10,3,1075.16,5,3,4,534,0
12489,336,1,267.03,1,1,2,112,4
12490,5,10,4859.93,5,5,5,555,3
12491,39,1,424.40000000000003,3,1,2,312,1
12492,63,2,227.21,3,2,1,321,1
12493,166,2,362.79,2,2,2,222,4
12494,10,13,995.35,5,5,4,554,0
12497,82,1,690.6,2,1,3,213,1
12498,21,3,349.70000000000005,4,3,2,432,1
12500,36,11,2043.04,3,5,5,355,2
12501,315,2,1928.73,1,2,5,125,2
12502,96,5,2875.22,2,4,5,245,2
12504,18,4,59.99999999999999,4,4,1,441,1
12506,233,1,73.5,1,1,1,111,4
12507,134,4,387.66,2,4,2,242,2
12508,26,2,397.88,4,2,2,422,1
12509,284,1,158.5,1,1,1,111,4
12510,143,2,814.5699999999999,2,2,3,223,2
12512,66,2,132.18,3,2,1,321,1
12513,85,2,532.79,2,2,3,223,1
12514,267,1,1017.68,1,1,4,114,4
12515,353,1,278.7,1,1,2,112,4
12516,78,2,1082.38,2,2,4,224,2
12517,28,5,2263.65,4,4,5,445,2
12518,1,5,1840.89,5,4,4,544,0
12519,64,1,276.84,3,1,2,312,1
12520,79,6,2277.56,2,4,5,245,2
12521,143,1,545.68,2,1,3,213,4
12522,39,2,156.72,3,2,1,321,1
12523,2,12,1638.6200000000001,5,5,4,554,3
12524,9,8,3654.84,5,5,5,555,3
12526,1,3,1172.66,5,3,4,534,0
12527,82,3,330.71000000000004,2,3,2,232,1
12528,9,8,1617.33,5,5,4,554,0
12530,60,5,1321.83,3,4,4,344,2
12531,15,1,95.27,4,1,1,411,1
12532,30,1,313.83000000000004,4,1,2,412,1
12534,131,1,962.23,2,1,4,214,4
12535,92,2,716.35,2,2,3,223,2
12536,8,2,3922.37,5,2,5,525,0
12538,29,1,363.95,4,1,2,412,1
12539,22,4,5449.7,4,4,5,445,2
12540,20,19,11323.49,4,5,5,455,3
12541,30,3,841.18,4,3,3,433,2
12544,30,2,299.7,4,2,2,422,1
12545,75,2,832.39,2,2,3,223,2
12546,47,3,1001.5,3,3,4,334,2
12547,198,2,151.79999999999998,1,2,1,121,4
12548,166,1,67.19999999999999,2,1,1,211,4
12550,79,1,824.83,2,1,3,213,1
12551,358,1,168.0,1,1,1,111,4
12552,40,1,317.82,3,1,2,312,1
12553,8,14,3238.25,5,5,5,555,3
12556,50,2,599.56,3,2,3,323,1
12557,16,4,2501.34,4,4,5,445,0
12558,2,2,1.0658141036401503e-14,5,2,1,521,1
12559,311,3,500.21000000000004,1,3,3,133,4
12560,5,3,1868.44,5,3,4,534,0
12561,303,1,238.85,1,1,2,112,4
12562,8,7,3250.14,5,4,5,545,0
12564,261,1,352.05,1,1,2,112,4
12565,282,2,131.17,1,2,1,121,4
12566,73,2,292.7,2,2,2,222,1
12567,23,11,7930.79,4,5,5,455,3
12569,2,33,3128.9900000000002,5,5,5,555,3
12571,40,2,519.61,3,2,3,323,1
12572,9,3,862.82,5,3,4,534,0
12573,227,1,160.54000000000002,1,1,1,111,4
12574,316,1,182.45000000000002,1,1,1,111,4
12576,36,6,1260.08,3,4,4,344,2
12577,35,4,564.2,3,4,3,343,2
12578,21,4,2361.36,4,4,5,445,0
12579,73,2,374.72,2,2,2,222,1
12580,247,1,379.7,1,1,2,112,4
12581,40,1,179.71,3,1,1,311,1
12582,239,2,351.36,1,2,2,122,4
12583,3,17,6427.29,5,5,5,555,3
12584,4,18,1691.3,5,5,4,554,3
12585,234,4,1612.62,1,4,4,144,2
12586,17,2,179.94000000000003,4,2,1,421,1
12587,8,1,104.0,5,1,1,511,1
12588,39,1,174.89999999999998,3,1,1,311,1
12589,29,2,574.68,4,2,3,423,1
12590,190,2,8948.38,1,2,5,125,2
12591,317,1,368.85,1,1,2,112,4
12592,92,2,401.6,2,2,2,222,4
12593,109,3,382.09999999999997,2,3,2,232,4
12594,38,9,3208.2200000000003,3,5,5,355,2
12596,51,2,450.27,3,2,3,323,1
12597,19,5,2999.63,4,4,5,445,0
12598,10,8,2786.68,5,5,5,555,0
12599,29,7,888.58,4,4,4,444,2
12600,29,10,2311.04,4,5,5,455,3
12601,190,6,439.61,1,4,2,142,2
12602,59,1,153.12,3,1,1,311,1
12603,22,1,613.1999999999999,4,1,3,413,1
12604,79,2,236.18,2,2,2,222,1
12607,58,2,3.552713678800501e-15,3,2,1,321,4
12609,78,3,964.85,2,3,4,234,2
12610,23,6,1638.19,4,4,4,444,0
12611,52,1,1049.32,3,1,4,314,1
12612,58,2,607.59,3,2,3,323,1
12613,31,5,2966.98,4,4,5,445,2
12614,278,1,315.6,1,1,2,112,4
12615,2,4,2093.19,5,4,5,545,0
12616,85,5,585.25,2,4,3,243,2
12617,29,1,352.98,4,1,2,412,1
12618,22,1,137.31,4,1,1,411,1
12619,16,11,1934.73,4,5,5,455,3
12620,15,3,1303.41,4,3,4,434,0
12621,2,23,11719.97,5,5,5,555,3
12622,232,1,162.1,1,1,1,111,4
12623,276,1,269.1,1,1,2,112,4
12624,106,2,569.13,2,2,3,223,4
12625,212,3,2362.32,1,3,5,135,2
12626,23,13,5722.35,4,5,5,455,3
12627,11,6,4057.58,5,4,5,545,0
12628,4,4,715.61,5,4,3,543,0
12630,10,2,1013.9300000000001,5,2,4,524,0
12631,57,1,480.5,3,1,3,313,1
12633,59,5,1694.63,3,4,4,344,2
12635,90,2,1509.18,2,2,4,224,2
12637,67,9,5700.4,3,5,5,355,2
12638,33,1,511.69,3,1,3,313,1
12639,239,1,366.1,1,1,2,112,4
12640,24,3,960.6800000000001,4,3,4,434,2
12641,115,1,145.9,2,1,1,211,4
12642,25,3,888.31,4,3,4,434,2
12643,128,5,1762.4,2,4,4,244,2
12644,130,1,477.91,2,1,3,213,4
12645,34,5,1611.38,3,4,4,344,2
12646,5,2,1346.97,5,2,4,524,0
12647,22,13,3011.12,4,5,5,455,3
12648,155,1,300.05,2,1,2,212,4
12649,107,4,549.71,2,4,3,243,2
12650,3,1,242.44000000000003,5,1,2,512,1
12651,335,1,114.0,1,1,1,111,4
12652,322,2,788.53,1,2,3,123,4
12653,149,2,2209.85,2,2,5,225,2
12654,11,5,529.98,5,4,3,543,0
12656,17,8,3465.97,4,5,5,455,3
12657,11,5,798.0600000000001,5,4,3,543,0
12658,19,1,632.05,4,1,3,413,1
12659,30,1,73.68,4,1,1,411,1
12660,11,1,227.1,5,1,1,511,1
12662,1,12,3481.13,5,5,5,555,3
12664,8,9,4391.88,5,5,5,555,3
12665,325,2,43.75,1,2,1,121,4
12667,58,1,460.13,3,1,3,313,1
12668,7,6,3113.18,5,4,5,545,0
12669,151,2,1410.78,2,2,4,224,2
12670,10,6,2734.15,5,4,5,545,0
12672,330,1,225.89999999999998,1,1,1,111,4
12673,5,2,574.52,5,2,3,523,0
12674,12,7,1796.26,4,4,4,444,0
12676,25,6,1091.39,4,4,4,444,2
12678,42,10,11757.66,3,5,5,355,3
12679,52,9,896.67,3,5,4,354,2
12680,1,4,790.81,5,4,3,543,0
12681,15,26,12309.59,4,5,5,455,3
12682,4,31,10633.18,5,5,5,555,3
12683,4,19,7362.09,5,5,5,555,3
12684,8,7,2051.79,5,4,5,545,0
12685,28,6,2575.08,4,4,5,445,2
12686,372,1,71.14,1,1,1,111,4
12688,114,1,4565.91,2,1,5,215,2
12689,26,2,1139.61,4,2,4,424,2
12690,206,1,335.01,1,1,2,112,4
12691,28,5,927.8,4,4,4,444,2
12693,121,6,686.96,2,4,3,243,2
12694,70,2,761.67,2,2,3,223,2
12695,7,4,582.1,5,4,3,543,0
12697,21,5,739.02,4,4,3,443,0
12700,8,4,4525.99,5,4,5,545,0
12701,80,2,691.8100000000001,2,2,3,223,2
12702,20,1,201.0,4,1,1,411,1
12703,64,2,256.7,3,2,2,322,1
12704,7,8,1715.8899999999999,5,5,4,554,0
12705,15,13,6328.24,4,5,5,455,3
12707,292,1,603.42,1,1,3,113,4
12708,30,16,2282.52,4,5,5,455,3
12709,3,26,9018.0,5,5,5,555,3
12710,97,4,1004.5699999999999,2,4,4,244,2
12712,29,16,3791.63,4,5,5,455,3
12713,1,1,794.55,5,1,3,513,0
12714,9,5,4294.86,5,4,5,545,0
12715,106,1,263.36,2,1,2,212,4
12716,4,2,963.49,5,2,4,524,0
12717,151,2,791.03,2,2,3,223,2
12718,71,1,202.25,2,1,1,211,1
12719,5,3,536.1,5,3,3,533,0
12720,3,28,5009.12,5,5,5,555,3
12721,32,7,2308.13,3,5,5,355,2
12722,85,6,886.3299999999999,2,4,4,244,2
12723,4,4,622.32,5,4,3,543,0
12724,5,4,923.41,5,4,4,544,0
12725,371,1,371.8,1,1,2,112,4
12726,28,7,2374.62,4,5,5,455,2
12727,11,8,3425.7,5,5,5,555,3
12728,71,4,728.33,2,4,3,243,2
12729,114,1,417.01,2,1,2,212,4
12731,24,14,17060.95,4,5,5,455,3
12732,180,1,218.26000000000002,1,1,1,111,4
12733,234,1,383.95,1,1,2,112,4
12734,353,1,110.39999999999999,1,1,1,111,4
12735,315,2,673.62,1,2,3,123,4
12736,333,1,144.0,1,1,1,111,4
12738,372,1,137.35,1,1,1,111,4
12739,99,1,975.54,2,1,4,214,1
12740,64,1,427.6,3,1,2,312,1
12743,134,2,523.18,2,2,3,223,4
12744,56,4,8646.99,3,4,5,345,2
12747,2,11,4180.0599999999995,5,5,5,555,3
12748,1,216,26930.6,5,5,5,555,3
12749,4,8,3818.2,5,5,5,555,3
12750,129,1,275.88,2,1,2,212,4
12752,81,1,4366.78,2,1,5,215,2
12753,4,11,20244.49,5,5,5,555,3
12754,236,3,427.38,1,3,2,132,4
12756,87,1,112.07999999999998,2,1,1,211,4
12757,16,10,3969.55,4,5,5,455,3
12758,117,2,2791.59,2,2,5,225,2
12759,52,3,1463.64,3,3,4,334,2
12762,8,2,1702.52,5,2,4,524,0
12763,138,2,494.08,2,2,3,223,4
12764,317,1,1693.88,1,1,4,114,4
12766,4,7,6457.63,5,5,5,555,3
12769,239,1,1143.6,1,1,4,114,4
12770,211,1,1351.45,1,1,4,114,4
12772,60,1,752.47,3,1,3,313,1
12775,17,6,1334.29,4,4,4,444,0
12778,20,6,768.23,4,4,3,443,0
12779,21,12,3868.7,4,5,5,455,3
12781,21,5,667.72,4,4,3,443,0
12782,5,6,1881.3200000000002,5,4,5,545,0
12783,2,4,1295.87,5,4,4,544,0
12784,15,1,476.82,4,1,3,413,1
12785,3,2,232.76,5,2,2,522,1
12787,10,3,463.66,5,3,3,533,0
12789,65,1,15.0,3,1,1,311,4
12790,192,1,324.92,1,1,2,112,4
12791,374,1,192.60000000000002,1,1,1,111,4
12792,257,1,344.53999999999996,1,1,2,112,4
12793,335,2,461.48,1,2,3,123,4
12794,53,2,860.41,3,2,4,324,2
12795,19,1,318.48,4,1,2,412,1
12797,360,3,166.18,1,3,1,131,4
12798,171,1,69.12,2,1,1,211,4
12802,184,2,412.58,1,2,2,122,4
12808,37,3,455.65000000000003,3,3,3,333,1
12809,168,2,400.36,2,2,2,222,4
12811,262,2,459.85,1,2,3,123,4
12812,45,1,229.64000000000001,3,1,2,312,1
12814,102,1,85.92,2,1,1,211,4
12815,148,2,863.46,2,2,4,224,2
12816,96,2,395.3,2,2,2,222,4
12817,281,1,126.03999999999999,1,1,1,111,4
12818,178,2,363.0,1,2,2,122,4
12820,3,4,942.34,5,4,4,544,0
12821,214,1,92.72,1,1,1,111,4
12822,71,3,918.98,2,3,4,234,2
12823,75,5,1759.5,2,4,4,244,2
12824,60,1,397.12,3,1,2,312,1
12826,3,8,1468.1200000000001,5,5,4,554,0
12827,6,3,430.15000000000003,5,3,2,532,0
12828,3,6,1001.76,5,4,4,544,0
12829,337,2,132.3,1,2,1,121,4
12830,91,4,1961.1200000000001,2,4,5,245,2
12831,262,1,215.05,1,1,1,111,4
12832,32,2,383.03,3,2,2,322,1
12833,145,1,417.38,2,1,2,212,4
12834,283,1,312.38,1,1,2,112,4
12836,59,4,2440.86,3,4,5,345,2
12837,173,1,117.15,2,1,1,211,4
12838,34,2,655.0,3,2,3,323,1
12839,3,16,5583.62,5,5,5,555,3
12840,144,6,2714.27,2,4,5,245,2
12841,5,26,3760.88,5,5,5,555,3
12842,70,2,1053.99,2,2,4,224,2
12843,66,9,1680.76,3,5,4,354,2
12844,29,2,325.96000000000004,4,2,2,422,1
12845,267,3,145.29000000000002,1,3,1,131,4
12847,22,1,843.64,4,1,3,413,1
12849,31,2,1010.29,4,2,4,424,2
12851,97,1,114.86,2,1,1,211,4
12852,290,2,299.75,1,2,2,122,4
12853,108,9,1881.7,2,5,5,255,2
12854,79,5,1280.9,2,4,4,244,2
12855,373,1,38.1,1,1,1,111,4
12856,8,8,2153.53,5,5,5,555,0
12857,211,2,1106.4,1,2,4,124,2
12863,52,2,504.2,3,2,3,323,1
12864,138,1,27.599999999999998,2,1,1,211,4
12865,26,3,1429.42,4,3,4,434,2
12866,283,1,559.12,1,1,3,113,4
12867,26,10,3958.74,4,5,5,455,3
12868,186,6,1607.0600000000002,1,4,4,144,2
12871,84,2,380.64,2,2,2,222,1
12872,327,2,599.97,1,2,3,123,4
12873,282,1,374.0,1,1,2,112,4
12876,58,2,2218.02,3,2,5,325,2
12877,4,12,1535.77,5,5,4,554,3
12878,18,3,841.64,4,3,3,433,0
12879,45,4,552.5699999999999,3,4,3,343,2
12881,276,1,103.0,1,1,1,111,4
12882,9,2,1463.04,5,2,4,524,0
12883,25,4,686.52,4,4,3,443,2
12884,88,1,139.05,2,1,1,211,4
12885,63,3,1124.37,3,3,4,334,2
12886,68,3,1351.09,3,3,4,334,2
12888,214,4,313.77,1,4,2,142,4
12890,24,1,376.71999999999997,4,1,2,412,1
12891,293,1,42.0,1,1,1,111,4
12893,31,1,176.55,4,1,1,411,1
12895,42,3,347.3,3,3,2,332,1
12897,205,2,216.5,1,2,1,121,4
12901,10,26,2207.48,5,5,5,555,3
12902,265,1,104.78,1,1,1,111,4
12904,18,2,496.06,4,2,3,423,1
12906,12,5,2784.13,4,4,5,445,0
12909,40,8,1656.88,3,5,4,354,2
12910,23,8,3075.04,4,5,5,455,3
12912,3,5,1662.3,5,4,4,544,0
12913,5,5,2483.63,5,4,5,545,0
12915,149,2,363.65,2,2,2,222,4
12916,139,5,2921.15,2,4,5,245,2
12917,128,1,594.0,2,1,3,213,4
12919,8,8,1301.44,5,5,4,554,0
12920,17,1,128.88,4,1,1,411,1
12921,4,50,16389.74,5,5,5,555,3
12922,161,1,405.38,2,1,2,212,4
12923,64,1,172.82,3,1,1,311,1
12924,88,5,777.3100000000001,2,4,3,243,2
12925,5,2,694.05,5,2,3,523,0
12928,35,5,2028.14,3,4,5,345,2
12929,122,2,105.1,2,2,1,221,4
12930,78,4,409.9,2,4,2,242,2
12933,24,4,606.28,4,4,3,443,0
12935,2,8,2156.45,5,5,5,555,0
12936,17,5,1012.9,4,4,4,444,0
12937,15,4,1504.27,4,4,4,444,0
12938,26,1,114.14,4,1,1,411,1
12939,64,8,5921.52,3,5,5,355,2
12940,46,4,842.49,3,4,3,343,2
12942,131,3,658.65,2,3,3,233,2
12944,36,2,604.51,3,2,3,323,1
12945,288,1,462.95,1,1,3,113,4
12947,144,9,1390.34,2,5,4,254,2
12948,16,8,2053.7,4,5,5,455,0
12949,31,10,4143.02,4,5,5,455,3
12950,2,3,1699.0,5,3,4,534,0
12951,9,8,1025.1200000000001,5,5,4,554,0
12952,6,5,1315.04,5,4,4,544,0
12953,10,1,304.85,5,1,2,512,1
12955,1,14,4734.26,5,5,5,555,3
12956,306,1,91.12,1,1,1,111,4
12957,4,12,3962.09,5,5,5,555,3
12962,7,2,266.39,5,2,2,522,1
12963,8,9,1841.03,5,5,4,554,0
12965,89,1,769.8100000000001,2,1,3,213,1
12966,10,1,160.18,5,1,1,511,1
12967,3,3,865.3,5,3,4,534,0
12968,112,1,135.95,2,1,1,211,4
12970,7,4,405.47,5,4,2,542,0
12971,4,89,10070.99,5,5,5,555,3
12974,198,1,124.85000000000001,1,1,1,111,4
12976,212,1,738.6,1,1,3,113,4
12977,156,1,19.24,2,1,1,211,4
12980,177,9,1362.54,1,5,4,154,2
12981,30,2,372.21999999999997,4,2,2,422,1
12982,240,2,377.2,1,2,2,122,4
12984,19,1,97.5,4,1,1,411,1
12985,1,3,1181.42,5,3,4,534,0
12987,74,3,495.05,2,3,3,233,2
12988,292,1,505.82,1,1,3,113,4
12989,3,18,4662.11,5,5,5,555,3
12990,31,3,409.5,4,3,2,432,1
12991,23,2,503.76,4,2,3,423,1
12993,23,4,414.76,4,4,2,442,1
12994,4,5,902.22,5,4,4,544,0
12995,78,2,200.72,2,2,1,221,1
12997,22,7,1114.74,4,5,4,454,0
12999,196,3,455.88,1,3,3,133,4
13000,107,3,534.85,2,3,3,233,2
13001,4,15,8672.95,5,5,5,555,3
13002,318,1,120.94999999999999,1,1,1,111,4
13003,106,3,149.05,2,3,1,231,4
13004,12,22,5613.43,4,5,5,455,3
13005,174,3,468.95,2,3,3,233,4
13006,56,1,81.57,3,1,1,311,1
13008,323,2,178.46999999999997,1,2,1,121,4
13011,372,1,50.550000000000004,1,1,1,111,4
13012,9,11,1296.6200000000001,5,5,4,554,0
13013,1,15,4786.99,5,5,5,555,3
13014,3,16,3365.43,5,5,5,555,3
13015,53,5,3027.69,3,4,5,345,2
13016,73,3,722.09,2,3,3,233,2
13017,7,1,204.0,5,1,1,511,1
13018,16,29,7239.45,4,5,5,455,3
13021,4,12,2524.5,5,5,5,555,3
13023,64,2,689.9,3,2,3,323,1
13026,1,7,776.79,5,5,3,553,0
13028,23,3,659.68,4,3,3,433,0
13029,31,3,499.0,4,3,3,433,1
13030,11,2,695.89,5,2,3,523,0
13032,39,3,996.52,3,3,4,334,2
13033,357,1,190.55,1,1,1,111,4
13034,55,2,642.77,3,2,3,323,1
13035,58,3,886.63,3,3,4,334,2
13037,138,3,881.07,2,3,4,234,2
13038,80,3,908.46,2,3,4,234,2
13040,9,2,676.99,5,2,3,523,0
13043,254,2,471.57,1,2,3,123,4
13044,291,1,560.47,1,1,3,113,4
13045,99,1,305.28000000000003,2,1,2,212,4
13046,31,2,544.3100000000001,4,2,3,423,1
13047,32,18,3079.1,3,5,5,355,3
13048,14,5,1789.41,4,4,4,444,0
13049,64,2,656.6800000000001,3,2,3,323,1
13050,9,28,5644.66,5,5,5,555,3
13052,212,1,348.15000000000003,1,1,2,112,4
13055,64,4,1201.96,3,4,4,344,2
13058,25,3,271.40000000000003,4,3,2,432,1
13059,250,1,183.4,1,1,1,111,4
13060,254,1,307.53,1,1,2,112,4
13061,72,1,248.61,2,1,2,212,1
13062,191,1,286.5,1,1,2,112,4
13064,13,4,1085.64,4,4,4,444,0
13065,373,1,205.86,1,1,1,111,4
13066,24,2,430.90000000000003,4,2,2,422,1
13067,82,1,115.46000000000001,2,1,1,211,4
13068,10,2,344.0,5,2,2,522,1
13069,1,27,3347.38,5,5,5,555,3
13070,192,1,228.8,1,1,2,112,4
13072,267,1,177.15,1,1,1,111,4
13075,130,1,919.61,2,1,4,214,4
13077,1,4,728.02,5,4,3,543,0
13078,1,43,11320.28,5,5,5,555,3
13079,4,5,220.10000000000002,5,4,1,541,0
13080,179,1,58.08,1,1,1,111,4
13081,1,21,27841.86,5,5,5,555,3
13082,126,10,1945.81,2,5,5,255,2
13083,4,2,286.8,5,2,2,522,1
13085,158,3,272.38,2,3,2,232,4
13089,3,114,54330.36,5,5,5,555,3
13090,9,18,8537.84,5,5,5,555,3
13091,21,2,319.82,4,2,2,422,1
13092,71,6,459.83,2,4,3,243,2
13093,267,13,7741.47,1,5,5,155,2
13094,21,16,1403.5800000000002,4,5,4,454,3
13095,71,1,74.39999999999999,2,1,1,211,4
13097,33,14,5597.97,3,5,5,355,3
13098,1,41,27021.84,5,5,5,555,3
13101,234,1,101.19,1,1,1,111,4
13102,1,27,6078.53,5,5,5,555,3
13103,40,1,243.94,3,1,2,312,1
13104,3,6,1098.48,5,4,4,544,0
13106,129,2,59.5,2,2,1,221,4
13107,44,5,1524.07,3,4,4,344,2
13108,373,1,350.06,1,1,2,112,4
13109,3,5,766.84,5,4,3,543,0
13110,31,8,1418.97,4,5,4,454,2
13113,1,40,8810.0,5,5,5,555,3
13115,9,14,2125.73,5,5,5,555,3
13116,138,1,469.24,2,1,3,213,4
13117,22,8,948.96,4,5,4,454,0
13118,20,7,1100.0,4,5,4,454,0
13120,239,1,30.599999999999998,1,1,1,111,4
13121,269,2,254.73,1,2,2,122,4
13122,94,2,922.39,2,2,4,224,2
13124,90,3,3686.48,2,3,5,235,2
13126,5,9,2039.34,5,5,5,555,0
13127,78,1,259.17,2,1,2,212,1
13130,94,1,64.0,2,1,1,211,4
13131,23,4,1039.3,4,4,4,444,0
13132,262,1,77.3,1,1,1,111,4
13133,274,2,109.8,1,2,1,121,4
13134,73,7,1740.63,2,5,4,254,2
13136,50,11,2545.38,3,5,5,355,2
13137,11,8,3603.29,5,5,5,555,3
13138,22,6,962.39,4,4,4,444,0
13139,16,8,5055.79,4,5,5,455,3
13140,108,3,422.47,2,3,2,232,2
13141,85,6,2385.8,2,4,5,245,2
13142,19,1,307.09,4,1,2,412,1
13144,333,1,110.95,1,1,1,111,4
13145,40,4,319.77000000000004,3,4,2,342,1
13146,26,1,228.91,4,1,2,412,1
13147,10,4,712.8000000000001,5,4,3,543,0
13148,29,17,3253.82,4,5,5,455,3
13149,14,4,1676.06,4,4,4,444,0
13151,203,2,1110.77,1,2,4,124,2
13153,6,1,486.22,5,1,3,513,1
13155,33,4,971.76,3,4,4,344,2
13157,49,5,1721.57,3,4,4,344,2
13158,95,4,1201.06,2,4,4,244,2
13159,9,5,1371.25,5,4,4,544,0
13160,22,1,91.8,4,1,1,411,1
13161,313,1,112.75,1,1,1,111,4
13162,122,5,1644.99,2,4,4,244,2
13165,46,2,1021.48,3,2,4,324,2
13166,282,2,414.7,1,2,2,122,4
13167,19,4,749.57,4,4,3,443,0
13168,36,5,1290.54,3,4,4,344,2
13169,64,2,712.88,3,2,3,323,2
13170,27,1,108.81,4,1,1,411,1
13171,22,3,335.21,4,3,2,432,1
13173,4,2,353.65,5,2,2,522,0
13174,16,3,2640.92,4,3,5,435,0
13176,46,1,448.59,3,1,3,313,1
13177,65,1,282.45,3,1,2,312,1
13178,26,11,5725.47,4,5,5,455,3
13182,45,1,121.18,3,1,1,311,1
13183,8,9,3957.78,5,5,5,555,3
13184,15,12,1596.29,4,5,4,454,3
13185,268,1,71.4,1,1,1,111,4
13186,40,5,1539.69,3,4,4,344,2
13187,337,1,236.02,1,1,2,112,4
13188,11,1,114.60000000000001,5,1,1,511,1
13189,19,2,260.68,4,2,2,422,1
13192,95,2,911.94,2,2,4,224,2
13193,61,1,95.13,3,1,1,311,1
13194,136,1,60.7,2,1,1,211,4
